ID,Population_of_Origin,Sex,Exposed,Infection_load,LogZE,Infection_StatusStatus,Died,DOD,Days_Survived,Days_Survived,SVL_mm,Mass_g,Log_mass,SVL_start,Mass_start,Log_mass_start
38,Eucumbene,m,0,0,0,Uninfected,0,1,12/16/2011,87,NA,2.66,0.424881637,25,2.2,0.342422681
71,Eucumbene,m,0,0,0,Uninfected,0,1,12/16/2011,87,NA,2.56,0.408239965,26,2.5,0.397940009
75,Eucumbene,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,4.73,0.674861141,32.1,3.96,0.597695186
95,Eucumbene,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,5.06,0.704150517,28.5,2.8,0.447158031
128,Eucumbene,f,0,0,0,Uninfected,0,1,12/17/2011,88,NA,4,0.602059991,32.1,4.01,0.603144373
220,Eucumbene,f,0,0,0,Uninfected,0,1,12/17/2011,88,NA,5.68,0.754348336,33.2,4.31,0.63447727
329,Eucumbene,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,3.05,0.484299839,29.5,2.79,0.445604203
353,Eucumbene,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,2.71,0.432969291,26.9,2.69,0.42975228
371,Eucumbene,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,2.66,0.424881637,28.7,2.66,0.424881637
396,Eucumbene,f,0,0,0,Uninfected,0,1,12/18/2011,89,NA,3.02,0.480006943,28.1,2.62,0.418301291
181,Eucumbene,m,0,0,0,Uninfected,0,1,12/17/2011,88,NA,3.44,0.536558443,NA,NA,NA
214,Eucumbene,f,0,0,0,Uninfected,0,1,12/17/2011,88,NA,4.46,0.649334859,NA,NA,NA
234,Eucumbene,m,1,0,0,Infected,1,1,10/21/2011,31,NA,2.44,0.387389826,28.2,2.64,0.421603927
69,Eucumbene,m,1,5243,3.719662683,Infected,1,1,10/23/2011,33,NA,2.19,0.340444115,27,2.25,0.352182518
3,Eucumbene,f,1,5552,3.744527673,Infected,1,1,10/19/2011,29,NA,3.82,0.582063363,31.5,3.81,0.580924976
28,Eucumbene,f,1,7730,3.888235673,Infected,1,1,10/16/2011,26,NA,5.21,0.716837723,33.1,4.52,0.655138435
298,Eucumbene,m,1,7967,3.901349325,Infected,1,1,10/27/2011,37,NA,3.75,0.574031268,30.4,3.67,0.564666064
32,Eucumbene,f,1,29349,4.467608106,Infected,1,1,10/25/2011,35,NA,3.81,0.580924976,32.4,4.43,0.646403726
32,Eucumbene,f,1,29349,4.467608106,Infected,1,1,10/25/2011,35,NA,3.81,0.580924976,32.4,4.43,0.646403726
61,Eucumbene,m,1,37889,4.578524605,Infected,1,1,10/9/2011,19,NA,2.08,0.318063335,24.8,2,0.301029996
365,Eucumbene,f,1,50436,4.702749247,Infected,1,1,10/15/2011,25,NA,3.81,0.580924976,35.2,4.29,0.632457292
272,Eucumbene,f,1,57869,4.762453482,Infected,1,1,10/23/2011,33,NA,1.7,0.230448921,25.6,1.82,0.260071388
376,Eucumbene,f,1,67100,4.826728992,Infected,1,1,10/21/2011,31,NA,3.76,0.575187845,31,4.84,0.684845362
274,Eucumbene,f,1,67495,4.829278036,Infected,1,1,10/20/2011,30,NA,1.36,0.133538908,24.4,1.48,0.170261715
328,Eucumbene,m,1,79625,4.9010549,Infected,1,1,10/16/2011,26,NA,2.71,0.432969291,27.5,2.59,0.413299764
91,Eucumbene,f,1,89662,4.952613266,Infected,1,1,11/4/2011,45,NA,3.58,0.553883027,30.2,3.92,0.593286067
312,Eucumbene,f,1,95375,4.979439104,Infected,1,1,11/2/2011,43,NA,3.08,0.488550717,29.9,3.9,0.591064607
262,Eucumbene,m,1,109386,5.038965712,Infected,1,1,10/18/2011,28,NA,2.95,0.469822016,30.3,3.18,0.50242712
79,Eucumbene,f,1,110714,5.044206464,Infected,1,1,10/9/2011,19,NA,5.67,0.753583059,36.6,6.51,0.813580989
140,Eucumbene,m,1,130033,5.114056922,Infected,1,1,10/12/2011,22,NA,2.42,0.383815366,27.9,2.44,0.387389826
304,Eucumbene,f,1,132004,5.120590381,Infected,1,1,10/29/2011,39,NA,2.03,0.307496038,26.5,2.51,0.399673721
268,Eucumbene,f,1,190270,5.279372601,Infected,1,1,10/19/2011,29,NA,3.25,0.511883361,30.2,3.94,0.595496222
