FrogID,Site,Clutch,Sex,BdExposed,ShamExposed,Mass1,SVL1,2WPEwells06/10,2WPEzseDil06/10,2WPEzseCap06/10,2WPEzseUncap06/10,3WPEwells13/10,3WPEzseDil13/10,3WPEzseCap13/10,3WPEzseUncap13/10,4WPEwells20/10,4WPEzseDil20/10,4WPEzseCap20/10,4WPEzseUncap20/10,5WPEwells27/10,5WPEzseDil27/10,5WPEzseCap27/10,5WPEzseUncap27/10,6WPEwells03/11,6WPEzseDil03/11,6WPEzseCap03/11,6WPEzseUncap03/11,7WPEwells10/11,7WPEzseDil10/11,7WPEzseCap10/11,7WPEzseUncap10/11,8WPEwells17/11,8WPEzseDil17/11,8WPEzseCap17/11,8WPEzseUncap17/11,9WPEwells24/11,9WPEzseDil24/11,9WPEzseCap24/11,9WPEzseUncap24/11,10WPEwells01/12,10WPEzseDil01/12,10WPEzseCap01/12,10WPEzseUncap01/12,11WPEwells08/12,11WPEzseDil08/12,11WPEzseCap08/12,11WPEzseUncap08/12,DeathDate,Deathzsewells,DeathzseDil,DeathzseCap,DeathzseUncap,Mass2,DaysSurv,,,
Lva002,Ogilvies,Ogilvies C,male,1,0,2.2,27.2,3,0.4,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/10/2011,3,2475.22,>16667,412545,2.25,36,,,
Lva003,Eucumbene,Eucumbene C,female,1,0,3.81,31.5,3,33.92,5653,5654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/10/2011,3,33.31,5552,5552,3.82,29,,,
Lva004,Eucumbene,Eucumbene B,male,1,0,2.75,28.2,3,5.74,957,957,3,20.34,3390,3390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/10/2011,3,4507.97,>16667,751343,2.57,30,,,
Lva005,Greymare,Greymare C,male,1,0,3.98,28.9,3,53.84,8974,8975,3,23.96,3993,3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2011,3,1828.7,>16667,304789,2.79,25,,,
Lva006,Kiandra,Kiandra C,male,0,1,3.39,33.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,3.34,Survivor,,,
Lva007,Kiandra,Kiandra A,female,1,0,4.57,33.8,3,2.45,408,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/10/2011,3,5893.6,>16667,982286,4.43,36,,,
Lva009,Kiandra,Kiandra C,female,1,0,2.61,30.8,3,41.87,6978,6980,3,154.12,>16667,25691.804,3,676.28,>16667,112735.876,3,1.72,286.6724,286.6724,3,1.44,240.0048,240.0048,3,0.14,23.3338,23.3338,3,0.02,3.3334,3.3334,2,0.01,<2,1.667,1,0.0033,<1,0.55011,0,0,0,0,Survivor,0,0,0,0,3.11,Survivor,,,
Lva011,Kiandra,Kiandra C,NaN,1,0,3.38,30.9,3,22.44,3740,3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/10/2011,3,9548.4,>16667,1591432,2.92,29,,,
Lva012,Kiandra,Kiandra C,male,1,0,2.79,29,3,6.02,1003,1004,3,95.93,15989,15989,3,2104.75,>16667,350861.825,3,336.76,>16667,56137.892,,,,,,,,,,,,,,,,,,,,,,,,,30/10/2011,3,1348.7,>16667,224788,2.04,40,,,
Lva013,Eucumbene,Eucumbene B,female,1,0,2.14,27.4,3,5.96,993,994,3,215.66,>16667,35950.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,2310.06,>16667,385018,2.09,28,,,
Lva014,Ogilvies,Ogilvies B,male,0,1,3.08,31.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,4.49,Survivor,,,
Lva015,Ogilvies,Ogilvies B,female,0,1,2.31,26.3,0,0,0,0,0,0,0,0,1,0.0033,<1,0.55011,2,0.01,<2,1.667,0,0,0,0,3,55.95,9325.1865,9325.1865,3,1972.56,>16667,328825.752,,,,,,,,,,,,,20/11/2011,3,20051.22,>16667,3341937,2.62,61,,,
Lva016,Ogilvies,Ogilvies B,female,0,1,4.67,33.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/11/2011,3,5418.07,>16667,903030,4.42,44,,,
Lva017,Ogilvies,Ogilvies B,male,1,0,3.87,29.7,3,66.11,11019,11021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2011,3,5131.74,>16667,855307,3.63,22,,,
Lva018,Ogilvies,Ogilvies A,male,1,0,3.43,31.1,3,1.73,288,288,3,366.54,>16667,61102.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,2397.09,>16667,399523,2.97,28,,,
Lva019,Greymare,Greymare B,female,1,0,3.38,31,3,192.44,>16667,32080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2011,3,2760.86,>16667,460153,3.26,25,,,
Lva020,Ogilvies,Ogilvies C,male,1,0,1.61,23.8,3,30.24,5040,5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/10/2011,3,6979.72,>16667,1163310,1.31,29,,,
Lva021,Ogilvies,Ogilvies B,female,0,1,3.86,31.3,0,0,0,0,2,0.007,<2,<2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.99,498.3433,498.3433,3,388.91,>16667,64831.297,3,660.85,>16667,110163.695,,,,,,,,,27/11/2011,3,7544.26,>16667,1257402,3.61,68,,,
Lva022,Ogilvies,Ogilvies B,female,1,0,5,32.6,3,29.56,4927,4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2011,3,7042.78,>16667,1173820,4.38,22,,,
Lva023,Greymare,Greymare D,male,1,0,3.74,29.4,3,32.75,5458,5459,3,3430.71,>16667,571899.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2011,3,6915.4,>16667,1152590,4,25,,,
Lva024,Kiandra,Kiandra A,female,1,0,5.63,35.5,3,21.98,3663,3664,3,144.38,>16667,24068.146,3,672.98,>16667,112185.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/10/2011,3,310.14,>16667,51691,5.49,33,,,
Lva025,Greymare,Greymare B,female,1,0,3.91,31.6,3,8.62,1437,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/2011,3,274.66,>16667,45778,4.6,20,,,
Lva027,Kiandra,Kiandra C,female,1,0,4.2,35.2,3,7.11,1185,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/2011,3,4389.12,>16667,731535,3.59,38,,,
Lva028,Eucumbene,Eucumbene C,female,1,0,4.52,33.1,3,35.32,5887,5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/10/2011,3,46.38,7730,7730,5.21,26,,,
Lva029,Kiandra,Kiandra B,male,1,0,1.33,24.2,3,2.33,388,388,3,2.38,397,397,3,144.98,>16667,24168.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2011,3,533.33,>16667,88890,1.05,35,,,
Lva030,Kiandra,Kiandra D,female,1,0,7.58,38.2,3,2471.02,>16667,411919,3,160.22,**>16667,26708.674,3,1436.27,>16667,239426.209,3,4470.88,>16667,745295.696,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2011,3,4725.36,>16667,787576,5.56,39,,,
Lva032,Eucumbene,Eucumbene C,female,1,0,4.43,32.4,3,7.16,1193,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2011,3,176.09,>16667,29349,3.81,35,,,
Lva033,Ogilvies,Ogilvies B,female,0,1,4.72,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,6.96,Survivor,,,
Lva034,Greymare,Greymare B,male,1,0,3.16,30.5,3,40.59,6765,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/10/2011,3,3327.27,>16667,554556,3.08,30,,,
Lva035,Greymare,Greymare C,female,1,0,5.27,35.5,3,3.51,585,585,3,459.1,>16667,76531.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/10/2011,3,7739.29,>16667,1289907,3.89,27,,,
Lva036,Kiandra,Kiandra A,female,1,0,3.72,33.5,3,31.88,5313,5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/2011,3,696.6,>16667,116102,3.69,31,,,
Lva037,Kiandra,Kiandra A,female,0,1,4.3,34.8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,4.24,Survivor,,,
Lva038,Eucumbene,Eucumbene A,male,0,1,2.2,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,2.66,Survivor,,,
Lva040,Kiandra,Kiandra B,male,1,0,2.58,27.6,3,354.08,>16667,59025,3,19.63,3272,3272,3,1678.19,>16667,279754.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2011,3,1973.91,>16667,328992,2.41,37,,,
