Watershed_ID,Time_period,Stream_order,Sites_with_BT_present,Sites_with_BT_absent,Sample_number
02EC,Past,1,9,9,1
02EC,Past,2,3,7,1.1
02EC,Past,3,9,21,1
02EC,Past,4,2,10,1
02EC,Recent,1,18,37,1.109090909
02EC,Recent,2,35,51,1.093023256
02EC,Recent,3,87,56,1.321678322
02EC,Recent,4,43,41,1.25
02EC,Recent,5,0,179,1.106145251
02FB,Past,1,23,13,1.027777778
02FB,Past,2,28,21,1.12244898
02FB,Past,3,32,31,1.19047619
02FB,Past,4,5,28,1.242424242
02FB,Past,5,6,19,1.16
02FB,Past,6,2,4,1.166666667
02FB,Recent,1,6,17,1.043478261
02FB,Recent,2,6,10,1.375
02FB,Recent,3,6,15,1.380952381
02FB,Recent,4,0,10,1.8
02FB,Recent,5,0,6,1.666666667
02FC,Past,1,6,5,1
02FC,Past,2,10,14,1
02FC,Past,3,11,18,1
02FC,Past,4,4,12,1
02FC,Past,5,4,5,1
02FC,Past,6,0,2,1
02FC,Recent,1,2,2,1
02FC,Recent,2,0,7,1
02FC,Recent,3,8,1,1
02FC,Recent,4,2,5,1
02FC,Recent,5,0,11,1
02GA,Past,1,6,31,1
02GA,Past,2,6,18,1
02GA,Past,3,11,31,1.023809524
02GA,Past,4,8,31,1
02GA,Past,5,0,13,1
02GA,Past,6,0,27,1
02GA,Recent,1,11,60,1.028169014
02GA,Recent,2,21,116,1.02189781
02GA,Recent,3,12,84,1.010416667
02GA,Recent,4,6,55,1.016393443
02GA,Recent,5,1,50,1.156862745
02GA,Recent,6,0,40,1
02GB,Past,1,0,7,1
02GB,Past,2,3,3,1
02GB,Past,3,2,11,1
02GB,Past,4,0,11,1
02GB,Past,6,0,2,1
02GB,Recent,1,3,9,1.083333333
02GB,Recent,2,2,19,1
02GB,Recent,3,0,19,1.052631579
02GB,Recent,4,0,20,1.05
02GB,Recent,5,1,9,1.1
02GB,Recent,6,0,6,1
02GC,Past,1,0,10,1
02GC,Past,2,3,18,1
02GC,Past,3,0,13,1
02GC,Past,4,0,4,1
02GC,Past,5,0,8,1
02GC,Past,6,0,2,1
02GC,Recent,1,6,38,1
02GC,Recent,2,12,47,1.033898305
02GC,Recent,3,11,49,1.05
02GC,Recent,4,6,22,1
02GC,Recent,5,1,16,1.117647059
02GC,Recent,6,0,11,1
02HB,Past,1,8,19,1.074074074
02HB,Past,2,18,22,1.05
02HB,Past,3,13,57,1.114285714
02HB,Past,4,20,44,1.1875
02HB,Past,5,1,31,1.15625
02HB,Past,6,0,14,1.142857143
02HB,Recent,1,23,168,1.167539267
02HB,Recent,2,27,206,1.515021459
02HB,Recent,3,27,230,1.813229572
02HB,Recent,4,34,142,2.659090909
02HB,Recent,5,14,65,2.240506329
02HB,Recent,6,3,29,2.84375
02HC,Past,1,3,9,1.083333333
02HC,Past,2,2,3,1
02HC,Past,3,4,4,1
02HC,Past,4,1,4,1.2
02HC,Past,5,0,5,1
02HC,Past,6,0,1,1
02HC,Recent,1,15,72,1.022988506
02HC,Recent,2,13,200,1.018779343
02HC,Recent,3,47,246,1.020477816
02HC,Recent,4,64,242,1.013071895
02HC,Recent,5,28,166,1.056701031
02HC,Recent,6,2,74,1.013157895
02HD,Past,1,12,4,5.25
02HD,Past,2,11,10,1
02HD,Past,3,5,10,1
02HD,Past,4,3,5,1
02HD,Past,5,9,0,3.222222222
02HD,Past,6,0,1,1
02HD,Recent,1,23,23,1
02HD,Recent,2,26,96,1.016393443
02HD,Recent,3,24,95,1
02HD,Recent,4,26,41,1
02HD,Recent,5,4,92,1
02HD,Recent,6,0,26,1
02HG,Past,2,2,4,1
02HG,Past,3,2,6,1
02HG,Past,4,0,2,1
02HG,Recent,1,0,4,1
02HG,Recent,2,10,9,1
02HG,Recent,3,10,17,1
02HG,Recent,4,3,11,1
02HJ,Past,1,0,4,1
02HJ,Past,2,2,1,1
02HJ,Past,3,3,4,1
02HJ,Past,4,6,11,1
02HJ,Recent,1,0,14,1
02HJ,Recent,2,7,25,1
02HJ,Recent,3,4,8,1
02HJ,Recent,4,4,5,1
02HJ,Recent,5,0,11,1
