Strain,TechRep,ClusterID,Num.Cells.Progeny,Num.Cells.Parent,RepTime.sec,EntersField.sec
B201,1,1,NA,NA,NA,0
B201,1,2,NA,NA,NA,0
B201,1,3,1,8,50960,0
B201,1,3,1,8,80360,0
B201,1,3,1,6,80360,0
B201,1,3,1,7,105840,0
B201,1,3,1,7,105840,0
B201,1,3,1,5,113680,0
B201,1,3,1,5,113680,0
B201,1,3,1,5,113680,0
B201,1,3,1,5,113680,0
B201,1,3,1,5,113680,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,4,1,16,99960,0
B201,1,5,NA,NA,NA,0
B201,1,6,NA,NA,NA,0
B201,1,7,1,10,94080,0
B201,1,7,1,9,96040,0
B201,1,7,4,9,96040,0
B201,1,7,4,9,96040,0
B201,1,8,NA,NA,NA,0
B201,2,1,NA,NA,NA,0
B201,2,2,1,4,41160,0
B201,2,2,1,10,99960,0
B201,2,2,1,9,105840,0
B201,2,2,1,9,105840,0
B201,2,2,1,9,105840,0
B201,2,2,1,9,105840,0
B201,2,2,1,9,105840,0
B201,2,2,1,4,133280,0
B201,2,2,1,4,133280,0
B201,2,2,1,4,133280,0
B201,2,2,1,4,133280,0
B201,2,3,NA,NA,NA,0
B201,3,1,1,4,80360,0
B201,3,1,1,8,154840,0
B201,3,1,NA,NA,233240,0
B201,3,2,NA,NA,NA,0
B201,3,3,1,4,68600,0
B201,3,3,1,10,68600,0
B201,3,3,1,10,68600,0
B201,3,3,1,8,99960,0
B201,3,3,1,8,99960,0
B201,3,3,NA,NA,119560,0
B201,3,4,1,4,5880,0
B201,3,4,1,3,7840,0
B201,3,4,1,7,119560,0
B201,3,4,4,6,125440,0
B201,3,4,1,6,125440,0
B201,3,4,1,6,125440,0
B201,3,5,1,7,68600,0
B201,3,5,1,6,72520,0
B201,3,5,1,6,72520,0
B201,3,5,1,4,76440,0
B201,3,5,1,3,80360,0
B201,3,5,1,2,86240,0
B201,3,6,NA,NA,NA,0
B201,4,1,1,8,43120,0
B201,4,1,1,7,45080,0
B201,4,1,1,6,47040,0
B201,4,1,1,6,47040,0
B201,4,1,NA,NA,88200,0
B201,5,1,1,4,56840,0
B201,5,1,1,6,107800,0
B201,5,1,1,6,107800,0
B201,5,1,1,6,107800,0
B201,5,1,1,6,107800,0
B201,5,1,1,6,107800,0
B201,5,1,1,6,107800,0
B201,5,2,4,16,45080,0
B201,5,2,4,12,86240,0
B201,5,3,4,16,78400,0
B201,5,4,1,2,15680,0
B201,5,5,1,4,45080,0
B201,5,5,1,4,45080,0
B201,5,5,1,3,74480,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,6,1,16,99960,0
B201,5,7,2,8,105840,0
B201,5,7,2,6,119560,0
B201,5,7,1,5,129360,0
B201,5,7,1,4,139160,0
B201,5,7,1,4,139160,0
B201,5,7,1,4,139160,0
B201,5,7,1,4,139160,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,8,1,8,117600,0
B201,5,9,1,10,115640,0
B201,5,9,1,10,115640,0
B201,5,9,1,10,115640,0
B201,5,9,1,10,115640,0
B201,5,9,1,6,117600,0
B201,5,9,1,6,117600,0
B201,5,9,1,6,117600,0
B201,5,9,1,6,117600,0
B201,5,9,1,6,117600,0
B201,5,9,1,6,117600,0
B203,1,1,NA,NA,NA,0
B203,1,2,4,NA,166600,0
B203,1,3,4,64,178360,0
B203,1,3,4,NA,194040,0
B203,1,3,4,NA,194040,0
B203,1,3,4,NA,194040,0
B203,1,4,16,NA,188160,0
B203,1,4,16,NA,197960,0
B203,1,5,4,64,127400,0
B203,1,5,32,NA,150920,0
B203,2,1,4,256,160720,0
B203,2,1,8,256,160720,0
B203,2,1,8,256,160720,0
B203,2,1,4,256,160720,0
B203,2,1,16,256,160720,0
B203,2,1,12,216,166600,0
B203,2,1,4,NA,174440,0
